model_name,layer,denoise_index,count,x_t_norm_mean,x_t_norm_std,v_t_norm_mean,v_t_norm_std,suffix_hidden_norm_mean,suffix_hidden_norm_std
ours_v4_corner_12k,11,8,10,36.226042938232425,0.6161615598033037,27.13560733795166,0.8546242343807533,189.73912658691407,0.004432389057858565
ours_v4_corner_12k,11,9,10,35.93935966491699,0.6522367040822483,31.134286308288573,0.8994914723025594,189.7377166748047,0.005208238461743006
random_corner_12k,3,0,10,40.152682876586915,0.7227868328816696,21.61564712524414,0.8718522664585543,189.7350051879883,0.005423193665754254
random_corner_12k,3,1,10,39.3974422454834,0.7116385472929599,21.552614402770995,0.8487616142682326,189.73595123291017,0.002814665943838049
random_corner_12k,3,2,10,38.75642852783203,0.6995634810299026,21.65895519256592,0.823976917198733,189.73656005859374,0.002671837929139432
random_corner_12k,3,3,10,38.20300941467285,0.6840149347378699,21.743566703796386,0.8087207936513899,189.7344497680664,0.005345105893254898
random_corner_12k,3,4,10,37.73397941589356,0.6653368114628953,22.055780601501464,0.7926460495762845,189.7363510131836,0.005321067053899137
random_corner_12k,3,5,10,37.34410705566406,0.643837357657131,22.279128074645996,0.7509087323032001,189.7372833251953,0.004351694284837172
random_corner_12k,3,6,10,37.03055648803711,0.6206897123705338,22.808054733276368,0.6957207403256732,189.73563537597656,0.0035961065133427897
random_corner_12k,3,7,10,36.79043312072754,0.5972834295665167,23.463283157348634,0.6327323333803085,189.73374633789064,0.005440030298481742
random_corner_12k,3,8,10,36.58928108215332,0.5781779806552237,24.669109725952147,0.6700396812135925,189.73558807373047,0.0043938596530169165
random_corner_12k,3,9,10,36.37355766296387,0.5672271733524661,27.630116844177245,0.8657835669100805,189.7389389038086,0.007584162947738001
random_corner_12k,7,0,10,40.152682876586915,0.7227868328816696,21.61564712524414,0.8718522664585543,189.7350051879883,0.005423193665754254
random_corner_12k,7,1,10,39.3974422454834,0.7116385472929599,21.552614402770995,0.8487616142682326,189.73595123291017,0.002814665943838049
random_corner_12k,7,2,10,38.75642852783203,0.6995634810299026,21.65895519256592,0.823976917198733,189.73656005859374,0.002671837929139432
random_corner_12k,7,3,10,38.20300941467285,0.6840149347378699,21.743566703796386,0.8087207936513899,189.7344497680664,0.005345105893254898
random_corner_12k,7,4,10,37.73397941589356,0.6653368114628953,22.055780601501464,0.7926460495762845,189.7363510131836,0.005321067053899137
random_corner_12k,7,5,10,37.34410705566406,0.643837357657131,22.279128074645996,0.7509087323032001,189.7372833251953,0.004351694284837172
random_corner_12k,7,6,10,37.03055648803711,0.6206897123705338,22.808054733276368,0.6957207403256732,189.73563537597656,0.0035961065133427897
random_corner_12k,7,7,10,36.79043312072754,0.5972834295665167,23.463283157348634,0.6327323333803085,189.73374633789064,0.005440030298481742
random_corner_12k,7,8,10,36.58928108215332,0.5781779806552237,24.669109725952147,0.6700396812135925,189.73558807373047,0.0043938596530169165
