rank,method_name,position_correlation,d_bar_ratio,cluster_separation,overall_score,start_pct,end_pct,window_length_pct,weighting,cache_key
465,temporal_weighted_window,0.023311585225371,0.0999999997806594,0.0,0.0339869510913545,0.3,1.0,0.7,cosine,3d8c533df156d73d689185f1066b8109
466,temporal_weighted_window,0.0232723423691024,0.0999999998765979,0.0,0.033963405396781,0.15,1.0,0.85,cosine,b35609492830c0807d165db5dd737bc4
467,temporal_weighted_window,0.0232684473497892,0.0999999995760545,0.0,0.0339610683250844,0.0,0.7,0.7,cosine,2037f773262ce325fad1072b06885eb9
468,temporal_window,0.0232198181481135,0.12297053945013,7.791966067324406,1.5969192122437754,0.0,0.9,0.9,uniform,4751b6f0ccf888a336d8eace83c2de2f
469,temporal_weighted_window,0.0231699956022082,0.0999965445202727,0.0,0.0339013062653795,0.1,0.6,0.5,gaussian,cf78e15566c9c3a6be72ade68e944c00
470,temporal_weighted_window,0.0231318412727423,0.0999999996667904,0.0,0.0338791046970034,0.3,0.85,0.55,gaussian,c2fdb6938fdb3f93b4d57a6ecf828ba5
471,temporal_weighted_window,0.0231017967527373,0.0999999998192193,0.0,0.0338610780154863,0.2,0.85,0.6499999999999999,triangular,e4e6973d347758732ffb609c72886966
472,temporal_weighted_window,0.0230640123335189,0.0999999992668382,0.0,0.033838407253479,0.35,0.9,0.55,gaussian,a02bce3e36e051c72e27f3887dfbf890
473,temporal_weighted_window,0.0228786168830557,0.0999999999178452,0.0,0.0337271701134025,0.25,0.95,0.7,cosine,0d50c8c55182c8ea6348b9a036ae50d0
474,temporal_weighted_window,0.0228597646154855,0.0999999828530393,0.0,0.0337158553398992,0.4,0.9,0.5,gaussian,caa9046b308fbe689c27f059e5a4aaed
475,temporal_weighted_window,0.02276663245207,0.0999999997759981,0.0,0.0336599794264416,0.15,0.85,0.7,triangular,cd060db9ecaaf0b52d6f362159916493
476,temporal_weighted_window,0.0225868419721687,0.0999999994621265,0.0,0.0335521050757265,0.3,0.7,0.3999999999999999,gaussian,3c24959a0b449833409a48dace831100
477,temporal_weighted_window,0.0221074825216342,0.0999999996786677,0.0,0.033264489448714,0.3,0.7,0.3999999999999999,cosine,5a4d9b9cb0e5fe07a869e62e0223d6ea
478,temporal_weighted_window,0.0219793753235583,0.0999999993899581,0.0,0.0331876250721266,0.0,0.75,0.75,gaussian,9fcde9aa2f91dc68e46c615c6eb8c008
479,uniform_full,0.021955502858386,0.1171132224078905,8.143858700451052,1.66536768628682,0.0,1.0,1.0,uniform,a1c6cc1a6cb3aa72b340d80e5c31e086
480,temporal_window,0.021955502858386,0.1171132224078905,8.143858700451052,1.66536768628682,0.0,1.0,1.0,uniform,dec79148bc37e4a233520852ff76eb46
481,temporal_weighted_window,0.0217858071161059,0.0999999997423566,0.0,0.0330714842181349,0.15,0.8,0.65,gaussian,cf92ae4babca718486955e563a38034a
482,temporal_weighted_window,0.0217028854601274,0.0048560245872371,0.0,0.0139929361935238,0.75,0.9,0.15,gaussian,dd967e940a5475b7ae99086ed46d5597
483,temporal_weighted_window,0.0216980220143011,0.0999999998203365,0.0,0.0330188131726479,0.3,0.8,0.5,triangular,fabc0a55f0d1135600870a4c19b7bf6f
484,temporal_weighted_window,0.021518825184118,0.0999999997726034,0.0,0.0329112950649915,0.1,0.65,0.55,triangular,adaafcc0d6f2e44104b01d70786c5c2f
485,temporal_window,0.0214161055203299,0.1043196153214961,0.0,0.0337135863764971,0.3,0.65,0.35,uniform,634c163aad37e291cba94588b7813976
486,temporal_weighted_window,0.0212477235695608,0.0082094056590883,0.0,0.0143905152735541,0.25,0.4,0.15,gaussian,a8940869f0e365bffb6c8c407a575b4e
487,temporal_weighted_window,0.0212296249568176,0.0999999985759022,0.0,0.032737774689271,0.1,0.6,0.5,triangular,53bd82d64ea238d837307e9cadcede2f
488,temporal_weighted_window,0.0210389765534583,0.0999999995036087,0.0,0.0326233858327967,0.15,0.65,0.5,cosine,e7b5c37ec18cbb96722d5662568c59e8
489,temporal_weighted_window,0.0210381610720312,0.0999999996652146,0.0,0.0326228965762616,0.05,0.65,0.6,triangular,34a2b458819e79fdbcb59070cb221c0b
490,temporal_weighted_window,0.0210348527619994,0.0999999979114169,0.0,0.032620911239483,0.5,1.0,0.5,triangular,9e145aeb9a6d347a5613b87ad0455b35
491,temporal_weighted_window,0.0210143606423842,0.0999999999181138,0.0,0.0326086163690533,0.25,0.9,0.65,gaussian,094551478295944f4bf4bd3e983b7481
